X,Y_Ori,94_Loclizer_deviation/dot,Y_hou,Y1,Y
15170.70057,-0.018009338,-0.0101,-0.02190917,0.01180917,0.01180917
15105.2691,-0.005298223,0.005,-0.006445527,0.011445527,0.011445527
15085.32665,-0.007851763,0,-0.009552023,0.009552023,0.009552023
15056.93629,-0.000855899,0.0101,-0.00104124,0.01114124,0.01114124
15040.33927,-0.009189715,0,-0.011179702,0.011179702,0.011179702
15010.3345,-0.013283622,-0.005,-0.016160124,0.011160124,0.011160124
14988.63965,-0.009218049,0,-0.011214172,0.011214172,0.011214172
14972.02813,0.018820272,0.0302,0.022895708,0.007304292,0.007304292
14957.53344,-0.014207193,-0.0076,-0.01728369,0.00968369,0.00968369
14932.41549,-0.007958533,0,-0.009681914,0.009681914,0.009681914
14916.33588,-0.01222749,-0.005,-0.014875292,0.009875292,0.009875292
14903.43861,-0.014701548,-0.0076,-0.017885095,0.010285095,0.010285095
14897.58793,-0.001964561,0.0101,-0.002389977,0.012489977,0.012489977
14876.14141,-0.016459962,-0.0101,-0.020024285,0.009924285,0.009924285
14859.76239,-0.003583434,0.0076,-0.004359409,0.011959409,0.011959409
14845.62767,-0.000625211,0.0101,-0.000760597,0.010860597,0.010860597
14835.63938,-0.007516795,0,-0.009144519,0.009144519,0.009144519
14818.44827,-0.001680823,0.0076,-0.002044797,0.009644797,0.009644797
14806.01574,-0.009820098,0,-0.011946591,0.011946591,0.011946591
14795.47191,-0.017792624,-0.0126,-0.021645528,0.009045528,0.009045528
14779.06651,-0.026481934,-0.0227,-0.032216465,0.009516465,0.009516465
14767.72057,-0.005040118,0.005,-0.00613153,0.01113153,0.01113153
14758.69651,-0.001866744,0.0101,-0.002270978,0.012370978,0.012370978
14744.77657,-0.006274217,0.005,-0.007632867,0.012632867,0.012632867
14737.24299,0.001094988,0.0101,0.001332102,0.008767898,0.008767898
14731.42716,-0.004224898,0.005,-0.005139779,0.010139779,0.010139779
14729.37558,-0.015661985,-0.0076,-0.01905351,0.01145351,0.01145351
14724.1138,-0.0149314,-0.0101,-0.01816472,0.00806472,0.00806472
14719.34218,-0.018365431,-0.0101,-0.022342373,0.012242373,0.012242373
14716.22776,-0.012457234,-0.0025,-0.015154786,0.012654786,0.012654786
14712.27068,-0.013055559,-0.005,-0.015882675,0.010882675,0.010882675
14706.91553,-0.005249216,0.0025,-0.006385908,0.008885908,0.008885908
14701.46391,-0.016612236,-0.0076,-0.020209533,0.012609533,0.012609533
14697.14129,-0.017605598,-0.0101,-0.021418002,0.011318002,0.011318002
14690.06802,-0.021908087,-0.0176,-0.026652174,0.009052174,0.009052174
14680.59529,-0.007887451,0.0025,-0.009595439,0.012095439,0.012095439
14677.78746,-0.008158488,0,-0.009925168,0.009925168,0.009925168
14674.04604,-0.00824521,0.0025,-0.010030669,0.012530669,0.012530669
14669.50117,-0.009416642,0,-0.011455769,0.011455769,0.011455769
14668.20121,-0.010530213,-0.0025,-0.012810478,0.010310478,0.010310478
14664.27171,-0.005239808,0.005,-0.006374462,0.011374462,0.011374462
14660.22456,-0.00664957,0,-0.008089501,0.008089501,0.008089501
14658.90177,-0.024138719,-0.0202,-0.029365838,0.009165838,0.009165838
14657.87177,-0.013451325,-0.005,-0.016364142,0.011364142,0.011364142
14654.14417,-0.018989429,-0.0126,-0.023101495,0.010501495,0.010501495
14652.78298,-0.000427623,0.0076,-0.000520223,0.008120223,0.008120223
14649.43008,-0.043190748,-0.0428,-0.052543489,0.009743489,0.009743489
14646.94905,-0.015269358,-0.0076,-0.018575861,0.010975861,0.010975861
14645.9164,0.010391706,0.0202,0.012641978,0.007558022,0.007558022
14642.79855,-0.00762701,0.0025,-0.009278601,0.011778601,0.011778601
14639.61911,-0.003668746,0.005,-0.004463195,0.009463195,0.009463195
14637.02117,-0.016098507,-0.0076,-0.019584558,0.011984558,0.011984558
14635.45329,-0.007344606,0,-0.008935044,0.008935044,0.008935044
14631.13622,-0.013804035,-0.0076,-0.01679323,0.00919323,0.00919323
14627.63122,-0.017973694,-0.0101,-0.021865808,0.011765808,0.011765808
14621.91253,-0.009228311,-0.0025,-0.011226656,0.008726656,0.008726656
14619.08367,-0.022815547,-0.0151,-0.02775614,0.01265614,0.01265614
14616.38552,-0.026507379,-0.0227,-0.03224742,0.00954742,0.00954742
14612.26179,0.005617766,0.0151,0.006834265,0.008265735,0.008265735
14609.96093,-0.016887486,-0.0101,-0.020544387,0.010444387,0.010444387
14607.87348,-0.025057388,-0.0176,-0.03048344,0.01288344,0.01288344
14606.43691,-0.011191357,-0.005,-0.01361479,0.00861479,0.00861479
14604.65171,-0.01436912,-0.0076,-0.017480681,0.009880681,0.009880681
14602.74626,-0.019782734,-0.0126,-0.024066586,0.011466586,0.011466586
14600.75389,-0.003017418,0.0076,-0.003670825,0.011270825,0.011270825
14599.34175,-0.010014191,0,-0.012182714,0.012182714,0.012182714
14597.62313,0.000309555,0.0126,0.000376588,0.012223412,0.012223412
